2024-05-18T12:50:47+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: banner, Action: index
2024-05-18T12:50:48+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: dashboard, Action: index
2024-05-18T12:51:01+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: banner, Action: index
2024-05-18T12:51:27+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: banner, Action: index
2024-05-18T12:51:28+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: dashboard, Action: index
2024-05-18T12:51:39+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: banner, Action: index
2024-05-18T12:51:44+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: banner, Action: index
2024-05-18T12:53:20+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: banner, Action: index
2024-05-18T12:53:46+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: banner, Action: index
2024-05-18T12:53:52+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: banner, Action: index
2024-05-18T12:53:56+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: banner, Action: index
2024-05-18T12:54:31+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: banner, Action: index
2024-05-18T12:54:44+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: banner, Action: index
2024-05-18T12:54:59+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: banner, Action: index
2024-05-18T12:55:25+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: banner, Action: index
2024-05-18T12:55:58+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: banner, Action: index
2024-05-18T12:57:05+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: banner, Action: index
2024-05-18T12:57:21+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: banner, Action: index
2024-05-19T05:07:17+00:00 DEBUG (7): Event: controller_action_predispatch, Module: cms, Controller: index, Action: index
2024-05-19T05:07:27+00:00 DEBUG (7): Event: controller_action_predispatch, Module: cms, Controller: index, Action: noRoute
2024-05-19T05:07:29+00:00 DEBUG (7): Event: controller_action_predispatch, Module: cms, Controller: index, Action: noRoute
2024-05-19T05:29:23+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: index, Action: index
2024-05-19T05:29:23+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: index, Action: login
2024-05-19T05:54:09+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: index, Action: index
2024-05-19T05:54:09+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: index, Action: login
2024-05-19T05:54:31+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: index, Action: index
2024-05-19T05:54:37+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: index, Action: index
2024-05-19T05:54:37+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: index, Action: login
2024-05-19T05:54:41+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: index, Action: index
2024-05-19T05:54:43+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: dashboard, Action: index
2024-05-19T05:55:07+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: dashboard, Action: index
2024-05-19T05:59:45+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: dashboard, Action: index
2024-05-19T05:59:48+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: compare
2024-05-19T05:59:58+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: compare
2024-05-19T06:00:18+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: compare
2024-05-19T06:00:27+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: compare
2024-05-19T06:00:32+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: compare
2024-05-19T06:00:34+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: compare
2024-05-19T06:01:33+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: compare
2024-05-19T06:01:38+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: compare
2024-05-19T06:01:41+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: compare
2024-05-19T06:02:47+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: compare
2024-05-19T06:03:07+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: grid
2024-05-19T06:03:09+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: metric
2024-05-19T06:03:14+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: metric
2024-05-19T06:08:24+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: catalog_product_attribute, Action: index
2024-05-19T06:08:32+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: catalog_product_attribute, Action: index
2024-05-19T06:15:30+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: index
2024-05-19T06:15:37+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: new
2024-05-19T06:15:37+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: edit
2024-05-19T06:15:48+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: save
2024-05-19T06:16:03+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: save
2024-05-19T06:16:04+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: edit
2024-05-19T06:16:18+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: index
2024-05-19T06:16:22+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: edit
2024-05-19T06:16:27+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: delete
2024-05-19T06:16:27+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: index
2024-05-19T06:16:32+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: new
2024-05-19T06:16:32+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: edit
2024-05-19T06:16:40+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: save
2024-05-19T06:18:01+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: new
2024-05-19T06:18:01+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: edit
2024-05-19T06:18:06+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: save
2024-05-19T06:18:06+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: edit
2024-05-19T06:18:19+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: save
2024-05-19T06:18:20+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: edit
2024-05-19T06:18:26+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: index
2024-05-19T06:18:36+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: edit
2024-05-19T06:18:46+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: save
2024-05-19T06:18:47+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: edit
2024-05-19T06:18:53+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: index
2024-05-19T06:18:58+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: edit
2024-05-19T06:19:05+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: save
2024-05-19T06:19:06+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: edit
2024-05-19T06:19:14+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: index
2024-05-19T06:19:19+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: edit
2024-05-19T06:19:26+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: save
2024-05-19T06:19:27+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: edit
2024-05-19T06:19:36+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: index
2024-05-19T06:19:40+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: edit
2024-05-19T06:19:45+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: delete
2024-05-19T06:19:46+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: index
2024-05-19T06:19:51+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: new
2024-05-19T06:19:51+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: edit
2024-05-19T06:20:01+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: save
2024-05-19T06:21:59+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: save
2024-05-19T06:22:00+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: edit
2024-05-19T06:22:08+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: save
2024-05-19T06:22:23+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: save
2024-05-19T06:22:24+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: edit
